WS-SUC-NRO WS-SUC-IMPORTE WS-SUC-TIPN WS-SUC-TIPC1 WS-SUC-TIPC2 FILLER  
        #2             #3 #4                    #6           #7 #8    + 
    ZD 1:2         PD 3:5 AN 8:2           ZD 10:2      ZD 12:1 AN 13:8 
       <->    <---+----1> <>                   <->           <> <---+-- 
****  Top of data  ****                                                 
        01     0000150.50 AL                    01            1         
        01     0001200.00 NO                    01            2         
        01     0000300.40 BA                    02            1         
        01     0020150.60 BA                    03            1         
        02     0030150.50 NO                    03            2         
        02     0001500.00 AL                    01            1         
        02     0000350.10 AL                    02            1         
        45     0000180.00 NO                    02            1         
        45     0000230.00 NO                    02            2         
        49     0033450.00 NO                    02            2         
